site,latitude,longitude
1,30.6422,-90.1873
2,32.6217,-85.4727
3,32.6217,-85.4726
4,32.6218,-85.4728
5,32.6218,-85.4727
6,32.6218,-85.4726
7,32.6219,-85.4729
8,32.6219,-85.4728
9,32.6219,-85.4727
10,32.6219,-85.4726
11,32.622,-85.4727
12,33.8414,-86.8119
13,33.8736,-86.7502
14,34.3943,-89.5556
15,34.543,-85.3228
16,34.543,-85.3227
17,34.8168,-87.4444
18,35.0766,-85.3114
19,35.2102,-84.883
20,35.8389,-79.1318
21,35.839,-79.1314
22,35.8391,-79.1314
23,36.1248,-86.8708
24,36.4958,-94.2618
25,36.4958,-94.2617
26,36.8096,-90.4661
27,36.8172,-86.8612
28,37.2343,-79.9385
29,37.2343,-79.9382
30,37.2343,-79.9381
31,37.2343,-79.938
32,37.2344,-79.9382
33,37.2344,-79.9381
34,37.2345,-79.9382
35,37.2345,-79.9381
36,37.2345,-79.938
37,37.2345,-79.9379
38,37.2346,-79.9382
39,37.2346,-79.9381
40,37.2346,-79.938
41,37.2346,-79.9379
42,37.2347,-79.9383
43,37.2347,-79.9382
44,37.2347,-79.9381
45,37.2347,-79.938
46,37.2347,-79.9379
47,37.2348,-79.9384
48,37.2348,-79.9382
49,37.2348,-79.9381
50,37.2348,-79.938
51,37.8594,-86.0019
52,37.8855,-77.9641
53,38.2717,-77.2137
54,38.7382,-77.4236
55,38.7434,-77.7967
56,38.8646,-84.449
57,38.9959,-85.0141
58,38.996,-85.0134
59,39.0698,-86.5608
60,39.3781,-77.5706
61,39.5909,-81.7603
62,40.0654,-81.0746
63,40.142,-83.9088
64,40.268,-75.6093
65,40.4109,-79.65
66,40.4126,-79.6494
67,40.4145,-79.6522
68,40.42,-79.6569
69,40.6018,-75.647
70,40.6019,-75.6471
71,40.6019,-75.647
72,40.6019,-75.6469
73,40.602,-75.6471
74,40.602,-75.647
75,40.602,-75.6469
76,40.602,-75.6468
77,40.6021,-75.6471
78,40.6021,-75.647
79,40.6021,-75.6469
80,40.6022,-75.6471
81,40.6022,-75.647
82,40.6022,-75.6469
83,40.6645,-77.9063
84,40.7455,-76.574700000000007
85,41.2631,-82.3292
86,41.5363,-81.3401
87,41.6103,-71.1536
88,41.6105,-71.1535
89,41.6105,-71.1534
90,41.6106,-71.1535
91,41.6106,-71.1534
92,41.6795,-74.0492
93,41.7119,-72.5422
94,41.7119,-72.5421
95,41.712,-72.5418
96,41.7121,-72.5419
97,41.7121,-72.5418
98,41.7121,-72.5417
99,41.7122,-72.5417
100,41.7122,-72.5416
101,41.7122,-72.5415
102,41.716,-72.9838
103,41.716,-72.9837
104,41.7161,-72.9838
105,41.7161,-72.9837
106,41.7161,-72.9836
107,41.7161,-72.9835
108,41.7161,-72.9832
109,41.7162,-72.9838
110,41.7162,-72.9837
111,41.7162,-72.9836
112,41.7162,-72.9835
113,41.7162,-72.9834
114,41.7163,-72.9839
115,41.7163,-72.9838
116,41.7163,-72.9837
117,41.7163,-72.9836
118,41.7163,-72.9835
119,41.7163,-72.9834
120,41.7163,-72.9833
121,41.7163,-72.9832
122,41.7164,-72.9837
123,41.7164,-72.9836
124,41.7164,-72.9835
125,41.7164,-72.9834
126,41.7164,-72.9833
127,41.7164,-72.9831
128,41.7165,-72.9836
129,41.7165,-72.9835
130,41.7165,-72.9834
131,41.7298,-80.1322
132,41.774,-74.1756
133,41.7741,-74.1758
134,41.7742,-74.1759
135,41.7742,-74.1758
136,42.2671,-72.5422
137,42.3309,-71.3392
138,42.3312,-71.3397
139,42.3312,-71.3396
140,42.3312,-71.3394
141,42.3313,-71.3399
142,42.3313,-71.3398
143,42.3313,-71.3397
144,42.3313,-71.3396
145,42.3313,-71.3395
146,42.3313,-71.3394
147,42.3313,-71.3391
148,42.3314,-71.3398
149,42.3314,-71.3397
150,42.3314,-71.3396
151,42.3314,-71.3395
152,42.3314,-71.3394
153,42.3315,-71.3397
154,42.3315,-71.3396
155,42.3315,-71.3395
156,42.3315,-71.3394
157,42.3315,-71.3393
158,42.3316,-71.3399
159,42.3316,-71.3398
160,42.3316,-71.3397
161,42.3316,-71.3396
162,42.3316,-71.3395
163,42.3316,-71.3394
164,42.3316,-71.3393
165,42.3317,-71.3398
166,42.3317,-71.3396
167,42.3317,-71.3394
168,42.3317,-71.3393
169,42.3318,-71.3398
170,42.3667,-84.011
171,42.4444,-76.4926
172,42.5018,-71.5044
173,42.5018,-71.5043
174,42.5019,-71.5045
175,42.5019,-71.5044
176,42.5019,-71.5043
177,42.5023,-71.5045
178,42.5161,-84.3486
179,42.5173,-73.2282
180,42.5442,-71.3733
181,42.5649,-72.8361
182,42.566,-72.8362
183,42.566,-72.8357
184,42.7496,-83.8671
185,42.882,-70.8775
186,42.882,-70.8773
187,42.8824,-70.8777
188,43.1815,-73.7465
189,43.1817,-73.7469
190,43.1817,-73.7468
191,43.1817,-73.7466
192,43.1817,-73.7465
193,43.1818,-73.7471
194,43.1818,-73.747
195,43.1818,-73.7469
196,43.1818,-73.7467
197,43.1819,-73.747
198,43.1821,-73.7469
199,43.7386,-72.5232
200,43.739,-72.5237
201,43.74,-72.5257
202,45.2425,-70.4935
203,45.2533,-70.5297
